"Time_Iter","Outer_Iter","Inner_Iter",       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     ,    "tavg[CD]"    ,    "tavg[CL]"    ,    "tavg[CSF]"   ,    "tavg[CMx]"   ,    "tavg[CMy]"   ,    "tavg[CMz]"   ,    "tavg[CFx]"   ,    "tavg[CFy]"   ,    "tavg[CFz]"   ,   "tavg[CEff]"   ,  "tavg[Buffet]"  
         33,           0,         119,    0.009198845895,     0.07787199047,                 0,                 0,                 0,    0.001926945915,    0.009198845895,     0.07787199047,                 0,       8.465408744,    0.003035517849,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
         34,           0,         109,    0.009009428497,     0.06749083537,                 0,                 0,                 0,   -0.002002558378,    0.009009428497,     0.06749083537,                 0,       7.491133915,    0.003054716577,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
         35,           0,         141,    0.008842097234,     0.05696205244,                 0,                 0,                 0,   -0.005774972592,    0.008842097234,     0.05696205244,                 0,       6.442142733,    0.003075975012,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
         36,           0,         141,    0.008700662062,     0.04638513635,                 0,                 0,                 0,   -0.009350829719,    0.008700662062,     0.04638513635,                 0,       5.331219167,    0.003099225762,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
         37,           0,         139,    0.008589473171,     0.03584268188,                 0,                 0,                 0,    -0.01272446545,    0.008589473171,     0.03584268188,                 0,       4.172861497,    0.003124393911,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
         38,           0,         139,     0.00850885968,      0.0252033592,                 0,                 0,                 0,    -0.01608540461,     0.00850885968,      0.0252033592,                 0,        2.96201373,    0.003151396974,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
         39,           0,         139,    0.008459918218,     0.01456080208,                 0,                 0,                 0,    -0.01935046157,    0.008459918218,     0.01456080208,                 0,       1.721151635,    0.003180144885,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
         40,           0,         139,    0.008442110828,    0.003948167183,                 0,                 0,                 0,    -0.02250427172,    0.008442110828,    0.003948167183,                 0,      0.4676753555,    0.003210540024,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
         41,           0,         139,     0.00845455372,    -0.00660577854,                 0,                 0,                 0,    -0.02553670768,     0.00845455372,    -0.00660577854,                 0,     -0.7813278806,    0.003242477293,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
         42,           0,         138,    0.008496430487,    -0.01704430027,                 0,                 0,                 0,    -0.02841593496,    0.008496430487,    -0.01704430027,                 0,      -2.006054224,    0.003275844237,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
         43,           0,         137,    0.008566969732,    -0.02737264979,                 0,                 0,                 0,    -0.03117953705,    0.008566969732,    -0.02737264979,                 0,      -3.195137913,    0.002656375677,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
         44,           0,         135,    0.008664681631,    -0.03751034501,                 0,                 0,                 0,    -0.03377516299,    0.008664681631,    -0.03751034501,                 0,      -4.329108282,    0.002690622539,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
         45,           0,         134,    0.008788457565,    -0.04748030314,                 0,                 0,                 0,    -0.03626455837,    0.008788457565,    -0.04748030314,                 0,      -5.402575229,    0.003318907183,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
         46,           0,         132,    0.008935008073,    -0.05719494899,                 0,                 0,                 0,    -0.03857685859,    0.008935008073,    -0.05719494899,                 0,      -6.401219621,    0.003355166024,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
         47,           0,         134,    0.009101641063,    -0.06662517235,                 0,                 0,                 0,    -0.04072286204,    0.009101641063,    -0.06662517235,                 0,      -7.320127424,      0.0033922274,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
         48,           0,         133,    0.009285066035,    -0.07574561707,                 0,                 0,                 0,    -0.04270000072,    0.009285066035,    -0.07574561707,                 0,      -8.157789809,    0.002851452778,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
         49,           0,         127,    0.009482265921,    -0.08451932341,                 0,                 0,                 0,     -0.0444939074,    0.009482265921,    -0.08451932341,                 0,       -8.91340995,    0.002886757931,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
         50,           0,         119,    0.009692577882,    -0.09296660884,                 0,                 0,                 0,    -0.04616999889,    0.009692577882,    -0.09296660884,                 0,      -9.591525595,    0.002922518002,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
         51,           0,         119,    0.009911812621,     -0.1010358192,                 0,                 0,                 0,    -0.04764804861,    0.009911812621,     -0.1010358192,                 0,      -10.19347551,    0.002475323494,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
         52,           0,         118,      0.0101363602,     -0.1086636704,                 0,                 0,                 0,    -0.04890296624,      0.0101363602,     -0.1086636704,                 0,      -10.72018637,    0.002506726917,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
