"Density","Eddy_Viscosity","Heat_Flux","Laminar_Viscosity","Omega","Pressure","Pressure_Coefficient","Residual_Omega","Residual_Pressure","Residual_TKE","Residual_Velocity:0","Residual_Velocity:1","Residual_Velocity:2","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Turb_Kin_Energy","Velocity:0","Velocity:1","Velocity:2","Y_Plus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1,9.2782e-05,0,1.6226e-06,116.01,-0.19862,-0.39725,2.6782e-10,1.211e-11,-1.1757e-13,-4.8762e-12,2.1323e-13,0,0,0,0,0.010737,-0.20864,-0.00056639,0,0,1,0.0022011,0.1,-0.024499,0
1,9.657e-05,0,1.6226e-06,113.62,-0.19863,-0.39726,2.6164e-10,1.2135e-11,-1.1984e-13,-4.8834e-12,2.2175e-13,0,0,0,0,0.010927,-0.20796,-0.00060206,0,0,1,0.0022678,0.1,-0.024432,0
1,0.00010036,0,1.6226e-06,111.24,-0.19864,-0.39727,2.5546e-10,1.216e-11,-1.221e-13,-4.8906e-12,2.3027e-13,0,0,0,0,0.011117,-0.20728,-0.00063773,0,0,1,0.0023345,0.1,-0.024365,0
1,0.00010415,0,1.6226e-06,108.86,-0.19864,-0.39728,2.4928e-10,1.2185e-11,-1.2436e-13,-4.8978e-12,2.388e-13,0,0,0,0,0.011307,-0.2066,-0.0006734,0,0,1,0.0024012,0.1,-0.024299,0
1,0.00010793,0,1.6226e-06,106.54,-0.19865,-0.3973,2.4335e-10,1.221e-11,-1.2661e-13,-4.9046e-12,2.4734e-13,0,0,0,0,0.011496,-0.20592,-0.00070925,0,0,1,0.0024679,0.1,-0.024232,0
1,0.00011164,0,1.6226e-06,104.8,-0.19865,-0.39731,2.3955e-10,1.2235e-11,-1.2874e-13,-4.9082e-12,2.5611e-13,0,0,0,0,0.011672,-0.20519,-0.00074651,0,0,1,0.0025346,0.1,-0.024165,0
1,0.00011536,0,1.6226e-06,103.07,-0.19866,-0.39732,2.3574e-10,1.2259e-11,-1.3086e-13,-4.9118e-12,2.6488e-13,0,0,0,0,0.011849,-0.20446,-0.00078377,0,0,1,0.0026013,0.1,-0.024099,0
1,0.00011908,0,1.6226e-06,101.33,-0.19867,-0.39733,2.3194e-10,1.2283e-11,-1.3299e-13,-4.9154e-12,2.7365e-13,0,0,0,0,0.012025,-0.20373,-0.00082103,0,0,1,0.002668,0.1,-0.024032,0
1,0.00012279,0,1.6226e-06,99.592,-0.19867,-0.39734,2.2813e-10,1.2307e-11,-1.3511e-13,-4.919e-12,2.8242e-13,0,0,0,0,0.012202,-0.203,-0.00085829,0,0,1,0.0027347,0.1,-0.023965,0
1,0.00012651,0,1.6226e-06,97.854,-0.19868,-0.39736,2.2433e-10,1.2332e-11,-1.3724e-13,-4.9226e-12,2.9118e-13,0,0,0,0,0.012378,-0.20227,-0.00089555,0,0,1,0.0028014,0.1,-0.023899,0
